字段,列名,总数,缺失数,缺失率,零值数,零值率,中位数,P95
Scope,scope_clean,174,28,16.1%,,,,
Difficulty,difficulty,174,126,72.4%,,,,
Model Issue,model_issue,174,124,71.3%,,,,
Active Time,active_time,174,0,0.0%,0.0,0.0%,33.2s,628.4s
IoU (Polygon),iou,174,0,0.0%,,,,
IoU (Corner),iou_corner,174,0,0.0%,,,,
Boundary RMSE,boundary_rmse_px,174,0,0.0%,,,,
Layout 2D IoU,layout_2d_iou,174,54,31.0%,,,,
Layout 3D IoU,layout_3d_iou,174,54,31.0%,,,,
IoU to Consensus (LOO),iou_to_consensus_loo,174,98,56.3%,,,,
IoU to Others Median,iou_to_others_median,174,98,56.3%,,,,
Layout Used,layout_used_clean,174,0,0.0%,,,,
Pointwise Used,pointwise_rmse_used_clean,174,0,0.0%,,,,
Reliability Used,reliability_used_clean,174,0,0.0%,,,,
